#,NAME,Gl(deg),Gb(deg),P0(s),P1,F0(Hz),DM(cm^-3pc),BINARY (type),Binary Period (days),Semi-major axis,BINCOMP,DIST(kpc),DIST_DM(kpc),AGE(Yr),EDOT(ergs/),PMTOT(mas/yr)
2480,J2222+2923,88.05,-23.242,0.281399,6.17E-18,3.553671,49.38,*,*,*,*,4.46,4.46,723000000,10900000000000000000000000000000,*
964,J1622-4845,334.534,0.732,0.735092,1.1E-16,1.360375,292,*,*,*,*,5.24,5.24,106000000,10900000000000000000000000000000,*
2296,B1944+17,55.326,-3.5,0.440618,2.41E-17,2.269537,16.22,*,*,*,*,0.3,0.85,290000000,11100000000000000000000000000000,9.055
2071,J1906+0912,42.84,0.884,0.775345,1.32E-16,1.289749,265,*,*,*,*,5.63,5.63,92900000,11200000000000000000000000000000,*
1931,J1850+0026,33.246,0.353,1.081844,3.59E-16,0.924348,201.4,*,*,*,*,4.27,4.27,47700000,11200000000000000000000000000000,*
1635,J1819-1131,19.101,1.619,1.388137,7.61E-16,0.72039,578,*,*,*,*,12.25,12.25,28900000,11200000000000000000000000000000,*
372,J1002-5919,282.829,-3.224,0.713489,1.04E-16,1.401563,347,*,*,*,*,15.13,15.13,109000000,11300000000000000000000000000000,*
2086,B1905+39,70.948,14.203,1.235757,5.41E-16,0.80922,30.96,*,*,*,*,1.76,1.76,36200000,11300000000000000000000000000000,15.556
218,J0628+0909,202.19,-0.851,1.241421,5.48E-16,0.805528,88.3,*,*,*,*,4,4,35900000,11300000000000000000000000000000,*
700,B1417-54,315.793,6.36,0.935772,2.37E-16,1.068636,129.6,*,*,*,*,4.9,4.9,62600000,11400000000000000000000000000000,*
2026,J1901-0906,25.979,-6.441,1.781928,1.64E-15,0.56119,72.68,*,*,*,*,2.42,2.42,17200000,11400000000000000000000000000000,*
598,J1309-6526,304.758,-2.628,0.398292,1.84E-17,2.51072,340,*,*,*,*,19.94,19.94,343000000,11500000000000000000000000000000,*
523,J1210-5226,296.545,9.916,0.424131,2.22E-17,2.357764,*,*,*,*,*,2.6,*,302000000,11500000000000000000000000000000,*
1322,J1739-3159,356.739,-0.547,0.877561,1.97E-16,1.139522,337,*,*,*,*,4.85,4.85,70500000,11500000000000000000000000000000,*
178,B0538-75,287.162,-30.821,1.245856,5.65E-16,0.802661,17.5,*,*,*,*,1.04,1.04,34900000,11500000000000000000000000000000,*
1920,B1845-19,14.772,-8.254,4.30819,2.33E-14,0.232116,18.23,*,*,*,*,0.95,0.95,2930000,11500000000000000000000000000000,*
1739,J1831-1329,18.716,-1.884,2.165679,2.99E-15,0.461749,338,*,*,*,*,6.48,6.48,11500000,11600000000000000000000000000000,*
3,B0011+47,116.497,-14.631,1.240699,5.64E-16,0.805997,30.85,*,*,*,*,1.82,1.82,34800000,11700000000000000000000000000000,27.579
389,B1016-16,258.261,32.61,1.804695,1.74E-15,0.55411,48.82,*,*,*,*,3.27,3.27,16400000,11700000000000000000000000000000,*
2282,B1939+17,54.427,-2.68,0.696262,1.01E-16,1.436241,190,*,*,*,*,9.83,9.83,109000000,11800000000000000000000000000000,*
1067,B1641-68,321.842,-14.829,1.785611,1.7E-15,0.560032,43,*,*,*,*,1.8,1.8,16600000,11800000000000000000000000000000,*
1355,J1744-3922,350.908,-5.155,0.172444,1.55E-18,5.798972,148.1,ELL1,0.1914,0.2123,UL[brr+07],4.6,4.6,1760000000,11900000000000000000000000000000,*
100,J0329+1654,168.499,-31.683,0.89332,2.15E-16,1.11942,42.1,*,*,*,*,3.35,3.35,65800000,11900000000000000000000000000000,*
1636,J1819+1305,41.227,12.828,1.060364,3.59E-16,0.943073,64.9,*,*,*,*,4.41,4.41,46800000,11900000000000000000000000000000,*
2050,J1904+0412,38.163,-0.988,0.071095,1.1E-19,14.065707,185.9,BT,14.9343,9.6348,He[clm+01],4.01,4.01,10200000000,12100000000000000000000000000000,*
